mirna	target_gene	mirna_gene_id	target_gene_id	mirna_chr	target_gene_chr
NA	NOL8	NA	ENSG00000198000	NA	chr9
MIRLET7E	CENPP	ENSG00000198972	ENSG00000188312	chr19	chr9
MIRLET7E	IPPK	ENSG00000198972	ENSG00000127080	chr19	chr9
NA	CENPP	NA	ENSG00000188312	NA	chr9
NA	IPPK	NA	ENSG00000127080	NA	chr9
MIR17	BICD2	ENSG00000284536	ENSG00000185963	chr13	chr9
NA	BICD2	NA	ENSG00000185963	NA	chr9
MIR186	BICD2	ENSG00000207721	ENSG00000185963	chr1	chr9
MIR194	ANKRD19P	ENSG00000207624	ENSG00000187984	chr1	chr9
MIR194	ANKRD19P	ENSG00000229719	ENSG00000187984	chr11	chr9
MIR194	ANKRD19P	ENSG00000284155	ENSG00000187984	chr11	chr9
NA	ANKRD19P	NA	ENSG00000187984	NA	chr9
MIR320A	ANKRD19P	ENSG00000208037	ENSG00000187984	chr8	chr9
MIR93	ANKRD19P	ENSG00000207757	ENSG00000187984	chr7	chr9
MIR30B	ANKRD19P	ENSG00000207582	ENSG00000187984	chr8	chr9
MIR30B	ZNF484	ENSG00000207582	ENSG00000127081	chr8	chr9
NA	ZNF484	NA	ENSG00000127081	NA	chr9
MIR122	ANKRD19P	ENSG00000284440	ENSG00000187984	chr18	chr9
MIR93	FAM120A	ENSG00000207757	ENSG00000048828	chr7	chr9
MIR615	FAM120A	ENSG00000207571	ENSG00000048828	chr12	chr9
NA	FAM120A	NA	ENSG00000048828	NA	chr9
MIR25	FAM120A	ENSG00000207547	ENSG00000048828	chr7	chr9
MIR99A	FAM120A	ENSG00000207638	ENSG00000048828	chr21	chr9
MIR21	BARX1	ENSG00000284190	ENSG00000131668	chr17	chr9
MIR21	BARX1	ENSG00000284190	ENSG00000235601	chr17	chr9
MIR21	RP11-53B5.1	ENSG00000284190	NA	chr17	NA
MIR30A	BARX1	ENSG00000207827	ENSG00000131668	chr6	chr9
MIR30A	BARX1	ENSG00000207827	ENSG00000235601	chr6	chr9
MIR30A	RP11-53B5.1	ENSG00000207827	NA	chr6	NA
MIR26B	HIATL1	ENSG00000199121	NA	chr2	NA
NA	HIATL1	NA	NA	NA	NA
MIR3074	C9orf3	ENSG00000207617	NA	chr9	NA
MIR3074	MIR3074	ENSG00000207617	ENSG00000207617	chr9	chr9
NA	C9orf3	NA	NA	NA	NA
NA	MIR3074	NA	ENSG00000207617	NA	chr9
MIR15B	FANCC	ENSG00000207779	ENSG00000158169	chr3	chr9
NA	FANCC	NA	ENSG00000158169	NA	chr9
MIR17	FANCC	ENSG00000284536	ENSG00000158169	chr13	chr9
MIR23A	ZNF367	ENSG00000207980	ENSG00000165244	chr19	chr9
NA	ZNF367	NA	ENSG00000165244	NA	chr9
MIR19B	ZNF367	NA	ENSG00000165244	NA	chr9
MIR99A	ZNF367	ENSG00000207638	ENSG00000165244	chr21	chr9
MIR130A	ZNF367	ENSG00000208009	ENSG00000165244	chr11	chr9
MIR181A	ZNF367	NA	ENSG00000165244	NA	chr9
MIR17	ZNF367	ENSG00000284536	ENSG00000165244	chr13	chr9
MIR106B	ZNF367	ENSG00000208036	ENSG00000165244	chr7	chr9
MIR20A	ZNF367	ENSG00000283762	ENSG00000165244	chr13	chr9
MIR320A	ZNF367	ENSG00000208037	ENSG00000165244	chr8	chr9
MIR20A	AAED1	ENSG00000283762	NA	chr13	NA
NA	AAED1	NA	NA	NA	NA
MIR483	TSTD2	ENSG00000207805	ENSG00000136925	chr11	chr9
MIR4279	TSTD2	ENSG00000266243	ENSG00000136925	chr5	chr9
NA	TSTD2	NA	ENSG00000136925	NA	chr9
MIRLET7E	NCBP1	ENSG00000198972	ENSG00000136937	chr19	chr9
MIRLET7A	NCBP1	NA	ENSG00000136937	NA	chr9
MIR320A	TRIM14	ENSG00000208037	ENSG00000106785	chr8	chr9
MIR17	TRIM14	ENSG00000284536	ENSG00000106785	chr13	chr9
MIR128	TGFBR1	ENSG00000207654	ENSG00000106799	chr2	chr9
MIR128	TGFBR1	ENSG00000207625	ENSG00000106799	chr3	chr9
NA	TGFBR1	NA	ENSG00000106799	NA	chr9
MIR193A	ALG2	ENSG00000207614	ENSG00000119523	chr17	chr9
NA	ALG2	NA	ENSG00000119523	NA	chr9
MIR23A	STX17	ENSG00000207980	ENSG00000255145	chr19	chr9
MIR23A	STX17	ENSG00000207980	ENSG00000136874	chr19	chr9
NA	STX17	NA	ENSG00000255145	NA	chr9
NA	STX17	NA	ENSG00000136874	NA	chr9
MIR20A	ERP44	ENSG00000283762	ENSG00000023318	chr13	chr9
MIR17	ERP44	ENSG00000284536	ENSG00000023318	chr13	chr9
MIR1269A	LPPR1	ENSG00000221563	NA	chr4	NA
MIR1269A	MURC	ENSG00000221563	NA	chr4	NA
MIR1269B	LPPR1	ENSG00000265503	NA	chr17	NA
MIR1269B	MURC	ENSG00000265503	NA	chr17	NA
NA	RNF20	NA	ENSG00000155827	NA	chr9
MIR320A	RNF20	ENSG00000208037	ENSG00000155827	chr8	chr9
MIR192	NIPSNAP3A	ENSG00000283926	ENSG00000136783	chr11	chr9
NA	NIPSNAP3A	NA	ENSG00000136783	NA	chr9
MIR130B	ABCA1	ENSG00000283871	ENSG00000165029	chr22	chr9
MIR27A	ABCA1	ENSG00000207808	ENSG00000165029	chr19	chr9
NA	ABCA1	NA	ENSG00000165029	NA	chr9
MIR33B	ABCA1	ENSG00000207839	ENSG00000165029	chr17	chr9
MIR33A	ABCA1	ENSG00000207932	ENSG00000165029	chr22	chr9
MIR374A	SLC44A1	ENSG00000199168	ENSG00000070214	chrX	chr9
NA	SLC44A1	NA	ENSG00000070214	NA	chr9
MIR182	TMEM38B	ENSG00000207990	ENSG00000095209	chr7	chr9
NA	TMEM38B	NA	ENSG00000095209	NA	chr9
MIR29A	TMEM38B	ENSG00000284032	ENSG00000095209	chr7	chr9
MIR671	RAD23B	ENSG00000284191	ENSG00000119318	chr7	chr9
NA	RAD23B	NA	ENSG00000119318	NA	chr9
MIR122	RAD23B	ENSG00000284440	ENSG00000119318	chr18	chr9
MIR106A	RAD23B	ENSG00000284157	ENSG00000119318	chrX	chr9
MIR1301	RAD23B	ENSG00000221445	ENSG00000119318	chr2	chr9
MIR92A	IKBKAP	NA	NA	NA	NA
MIR16	TMEM245	ENSG00000198987	ENSG00000106771	chr3	chr9
MIR16	TMEM245	ENSG00000208006	ENSG00000106771	chr13	chr9
MIR222	TMEM245	ENSG00000207725	ENSG00000106771	chrX	chr9
MIR221	TMEM245	ENSG00000207870	ENSG00000106771	chrX	chr9
NA	TMEM245	NA	ENSG00000106771	NA	chr9
MIR17	TMEM245	ENSG00000284536	ENSG00000106771	chr13	chr9
MIR19A	TMEM245	ENSG00000284204	ENSG00000106771	chr13	chr9
MIR191	TMEM245	ENSG00000207605	ENSG00000106771	chr3	chr9
MIR182	TMEM245	ENSG00000207990	ENSG00000106771	chr7	chr9
MIR374B	TMEM245	ENSG00000212027	ENSG00000106771	chrX	chr9
NA	PTPN3	NA	ENSG00000070159	NA	chr9
MIR181A	PTPN3	NA	ENSG00000070159	NA	chr9
MIR125B	AKAP2	NA	NA	NA	NA
MIR125B	PALM2-AKAP2	NA	NA	NA	NA
NA	AKAP2	NA	NA	NA	NA
NA	PALM2-AKAP2	NA	NA	NA	NA
MIR30A	AKAP2	ENSG00000207827	NA	chr6	NA
MIR30A	PALM2-AKAP2	ENSG00000207827	NA	chr6	NA
MIR186	AKAP2	ENSG00000207721	NA	chr1	NA
MIR186	PALM2-AKAP2	ENSG00000207721	NA	chr1	NA
MIR99A	AKAP2	ENSG00000207638	NA	chr21	NA
MIR99A	PALM2-AKAP2	ENSG00000207638	NA	chr21	NA
MIR15A	AKAP2	ENSG00000283785	NA	chr13	NA
MIR15A	PALM2-AKAP2	ENSG00000283785	NA	chr13	NA
MIR19A	TXN	ENSG00000284204	ENSG00000136810	chr13	chr9
NA	TXN	NA	ENSG00000136810	NA	chr9
MIR222	TXN	ENSG00000207725	ENSG00000136810	chrX	chr9
NA	KIAA0368	NA	NA	NA	NA
MIR186	KIAA0368	ENSG00000207721	NA	chr1	NA
MIR365B	PTBP3	ENSG00000283978	ENSG00000119314	chr17	chr9
MIR365A	PTBP3	ENSG00000199130	ENSG00000119314	chr16	chr9
MIR140	PTBP3	ENSG00000208017	ENSG00000119314	chr16	chr9
NA	PTBP3	NA	ENSG00000119314	NA	chr9
MIR197	PTBP3	ENSG00000284443	ENSG00000119314	chr1	chr9
MIR484	PTBP3	ENSG00000283736	ENSG00000119314	chr16	chr9
MIR1229	PTBP3	ENSG00000221394	ENSG00000119314	chr5	chr9
MIR92A	HSDL2	NA	ENSG00000119471	NA	chr9
MIR26A	HSDL2	NA	ENSG00000119471	NA	chr9
MIR25	KIAA1958	ENSG00000207547	ENSG00000165185	chr7	chr9
MIR92A	KIAA1958	NA	ENSG00000165185	NA	chr9
NA	KIAA1958	NA	ENSG00000165185	NA	chr9
MIR15B	KIAA1958	ENSG00000207779	ENSG00000165185	chr3	chr9
NA	FKBP15	NA	ENSG00000119321	NA	chr9
MIR30C	FKBP15	NA	ENSG00000119321	NA	chr9
MIR615	FKBP15	ENSG00000207571	ENSG00000119321	chr12	chr9
MIR17	PRPF4	ENSG00000284536	ENSG00000136875	chr13	chr9
NA	PRPF4	NA	ENSG00000136875	NA	chr9
MIR15A	ALAD	ENSG00000283785	ENSG00000148218	chr13	chr9
NA	ALAD	NA	ENSG00000148218	NA	chr9
MIR21	POLE3	ENSG00000284190	ENSG00000148229	chr17	chr9
NA	POLE3	NA	ENSG00000148229	NA	chr9
MIR18A	POLE3	ENSG00000283815	ENSG00000148229	chr13	chr9
NA	RGS3	NA	ENSG00000138835	NA	chr9
MIR32	RGS3	ENSG00000207698	ENSG00000138835	chr9	chr9
MIR16	AMBP	ENSG00000198987	ENSG00000106927	chr3	chr9
MIR16	AMBP	ENSG00000208006	ENSG00000106927	chr13	chr9
MIR103A	AMBP	NA	ENSG00000106927	NA	chr9
MIR1301	CDK5RAP2	ENSG00000221445	ENSG00000136861	chr2	chr9
MIR149	CDK5RAP2	ENSG00000207611	ENSG00000136861	chr2	chr9
MIR130A	CDK5RAP2	ENSG00000208009	ENSG00000136861	chr11	chr9
NA	CDK5RAP2	NA	ENSG00000136861	NA	chr9
MIR4279	FBXW2	ENSG00000266243	ENSG00000119402	chr5	chr9
MIR483	FBXW2	ENSG00000207805	ENSG00000119402	chr11	chr9
MIRLET7B	FBXW2	ENSG00000284520	ENSG00000119402	chr22	chr9
MIRLET7A	FBXW2	NA	ENSG00000119402	NA	chr9
MIR222	FBXW2	ENSG00000207725	ENSG00000119402	chrX	chr9
NA	FBXW2	NA	ENSG00000119402	NA	chr9
NA	PSMD5-AS1	NA	NA	NA	NA
MIR17	PSMD5-AS1	ENSG00000284536	NA	chr13	NA
NA	PHF19	NA	ENSG00000119403	NA	chr9
MIR92B	PHF19	ENSG00000284586	ENSG00000119403	chr1	chr9
NA	CNTRL	NA	ENSG00000119397	NA	chr9
MIRLET7A	CNTRL	NA	ENSG00000119397	NA	chr9
MIR320A	RAB14	ENSG00000208037	ENSG00000119396	chr8	chr9
NA	RAB14	NA	ENSG00000119396	NA	chr9
MIR93	RAB14	ENSG00000207757	ENSG00000119396	chr7	chr9
MIR103A	STOM	NA	ENSG00000148175	NA	chr9
NA	STOM	NA	ENSG00000148175	NA	chr9
NA	RBM18	NA	ENSG00000119446	NA	chr9
MIR19A	RBM18	ENSG00000284204	ENSG00000119446	chr13	chr9
NA	RC3H2	NA	ENSG00000056586	NA	chr9
MIR122	RC3H2	ENSG00000284440	ENSG00000056586	chr18	chr9
MIR33A	RC3H2	ENSG00000207932	ENSG00000056586	chr22	chr9
MIR26A	RC3H2	NA	ENSG00000056586	NA	chr9
NA	ZBTB6	NA	ENSG00000186130	NA	chr9
MIR1269A	ZBTB6	ENSG00000221563	ENSG00000186130	chr4	chr9
MIR30C	ZBTB6	NA	ENSG00000186130	NA	chr9
NA	RABGAP1	NA	ENSG00000011454	NA	chr9
MIR504	RABGAP1	ENSG00000207800	ENSG00000011454	chrX	chr9
MIR15A	RABGAP1	ENSG00000283785	ENSG00000011454	chr13	chr9
MIR17	DENND1A	ENSG00000284536	ENSG00000119522	chr13	chr9
MIR106B	DENND1A	ENSG00000208036	ENSG00000119522	chr7	chr9
MIR222	LHX2	ENSG00000207725	ENSG00000106689	chrX	chr9
MIR222	NEK6	ENSG00000207725	ENSG00000119408	chrX	chr9
MIR196A	LHX2	NA	ENSG00000106689	NA	chr9
MIR196A	NEK6	NA	ENSG00000119408	NA	chr9
MIR27A	NR6A1	ENSG00000207808	ENSG00000148200	chr19	chr9
MIR26A	NR6A1	NA	ENSG00000148200	NA	chr9
NA	NR6A1	NA	ENSG00000148200	NA	chr9
MIR23A	NR6A1	ENSG00000207980	ENSG00000148200	chr19	chr9
MIR196B	NR6A1	ENSG00000283745	ENSG00000148200	chr7	chr9
MIR374A	NR6A1	ENSG00000199168	ENSG00000148200	chrX	chr9
MIR196A	NR6A1	NA	ENSG00000148200	NA	chr9
MIR532	NR6A1	ENSG00000207758	ENSG00000148200	chrX	chr9
MIR181A	NR6A1	NA	ENSG00000148200	NA	chr9
MIR1226	RPL35	ENSG00000221585	ENSG00000136942	chr3	chr9
NA	RPL35	NA	ENSG00000136942	NA	chr9
MIR92A	RPL35	NA	ENSG00000136942	NA	chr9
MIR1180	RPL35	ENSG00000221540	ENSG00000136942	chr17	chr9
MIR25	ARPC5L	ENSG00000207547	ENSG00000136950	chr7	chr9
MIR500A	ARPC5L	ENSG00000207785	ENSG00000136950	chrX	chr9
MIR615	ARPC5L	ENSG00000207571	ENSG00000136950	chr12	chr9
NA	ARPC5L	NA	ENSG00000136950	NA	chr9
MIR17	ARPC5L	ENSG00000284536	ENSG00000136950	chr13	chr9
NA	GOLGA1	NA	ENSG00000136935	NA	chr9
MIR18A	GOLGA1	ENSG00000283815	ENSG00000136935	chr13	chr9
MIR20A	PPP6C	ENSG00000283762	ENSG00000119414	chr13	chr9
NA	PPP6C	NA	ENSG00000119414	NA	chr9
NA	GAPVD1	NA	ENSG00000165219	NA	chr9
MIR17	GAPVD1	ENSG00000284536	ENSG00000165219	chr13	chr9
MIR92A	GAPVD1	NA	ENSG00000165219	NA	chr9
MIR365A	GAPVD1	ENSG00000199130	ENSG00000165219	chr16	chr9
MIR93	MAPKAP1	ENSG00000207757	ENSG00000119487	chr7	chr9
NA	MAPKAP1	NA	ENSG00000119487	NA	chr9
NA	ZBTB34	NA	ENSG00000177125	NA	chr9
MIR30A	ZBTB34	ENSG00000207827	ENSG00000177125	chr6	chr9
MIR29A	ZBTB34	ENSG00000284032	ENSG00000177125	chr7	chr9
MIR183	ZBTB34	ENSG00000207691	ENSG00000177125	chr7	chr9
MIR423	ZBTB34	ENSG00000283935	ENSG00000177125	chr17	chr9
MIR186	ZBTB34	ENSG00000207721	ENSG00000177125	chr1	chr9
MIR194	ZBTB34	ENSG00000207624	ENSG00000177125	chr1	chr9
MIR194	ZBTB34	ENSG00000229719	ENSG00000177125	chr11	chr9
MIR194	ZBTB34	ENSG00000284155	ENSG00000177125	chr11	chr9
MIR218	RPL12	ENSG00000207732	ENSG00000197958	chr4	chr9
MIR218	RPL12	ENSG00000207739	ENSG00000197958	chr5	chr9
MIR186	RPL12	ENSG00000207721	ENSG00000197958	chr1	chr9
MIRLET7G	RPL12	ENSG00000199150	ENSG00000197958	chr3	chr9
MIR193B	RPL12	ENSG00000207639	ENSG00000197958	chr16	chr9
MIRLET7E	RPL12	ENSG00000198972	ENSG00000197958	chr19	chr9
MIRLET7B	RPL12	ENSG00000284520	ENSG00000197958	chr22	chr9
MIR484	FAM129B	ENSG00000283736	NA	chr16	NA
MIR92A	FAM129B	NA	NA	NA	NA
MIR130A	FAM102A	ENSG00000208009	ENSG00000167106	chr11	chr9
MIR17	FAM102A	ENSG00000284536	ENSG00000167106	chr13	chr9
MIR423	FAM102A	ENSG00000283935	ENSG00000167106	chr17	chr9
NA	FAM102A	NA	ENSG00000167106	NA	chr9
MIR296	FAM102A	ENSG00000284040	ENSG00000167106	chr20	chr9
NA	SLC25A25	NA	ENSG00000148339	NA	chr9
NA	SLC25A25	NA	ENSG00000234771	NA	chr9
MIR21	SLC25A25	ENSG00000284190	ENSG00000148339	chr17	chr9
MIR21	SLC25A25	ENSG00000284190	ENSG00000234771	chr17	chr9
MIR25	PTGES2	ENSG00000207547	ENSG00000148334	chr7	chr9
MIR25	PTGES2	ENSG00000207547	ENSG00000232850	chr7	chr9
MIR92A	PTGES2	NA	ENSG00000148334	NA	chr9
MIR92A	PTGES2	NA	ENSG00000232850	NA	chr9
NA	PTGES2	NA	ENSG00000148334	NA	chr9
NA	PTGES2	NA	ENSG00000232850	NA	chr9
MIRLET7A	PTGES2	NA	ENSG00000148334	NA	chr9
MIRLET7A	PTGES2	NA	ENSG00000232850	NA	chr9
MIRLET7B	PTGES2	ENSG00000284520	ENSG00000148334	chr22	chr9
MIRLET7B	PTGES2	ENSG00000284520	ENSG00000232850	chr22	chr9
MIRLET7C	PTGES2	ENSG00000199030	ENSG00000148334	chr21	chr9
MIRLET7C	PTGES2	ENSG00000199030	ENSG00000232850	chr21	chr9
MIR324	CIZ1	ENSG00000199053	ENSG00000148337	chr17	chr9
MIR18A	CIZ1	ENSG00000283815	ENSG00000148337	chr13	chr9
MIR326	CIZ1	ENSG00000199090	ENSG00000148337	chr11	chr9
MIR615	CIZ1	ENSG00000207571	ENSG00000148337	chr12	chr9
MIR378A	SET	ENSG00000199047	ENSG00000119335	chr5	chr9
MIR505	SET	ENSG00000207633	ENSG00000119335	chrX	chr9
MIR93	SET	ENSG00000207757	ENSG00000119335	chr7	chr9
MIR877	SET	ENSG00000216101	ENSG00000119335	chr6	chr9
NA	SET	NA	ENSG00000119335	NA	chr9
MIR484	SET	ENSG00000283736	ENSG00000119335	chr16	chr9
MIR100	SET	ENSG00000207994	ENSG00000119335	chr11	chr9
MIR185	SET	ENSG00000208023	ENSG00000119335	chr22	chr9
MIR17	RP11-545E17.3	ENSG00000284536	NA	chr13	NA
MIR17	ZER1	ENSG00000284536	ENSG00000160445	chr13	chr9
MIR106B	RP11-545E17.3	ENSG00000208036	NA	chr7	NA
MIR106B	ZER1	ENSG00000208036	ENSG00000160445	chr7	chr9
NA	TBC1D13	NA	ENSG00000107021	NA	chr9
MIR16	TBC1D13	ENSG00000198987	ENSG00000107021	chr3	chr9
MIR16	TBC1D13	ENSG00000208006	ENSG00000107021	chr13	chr9
MIR26B	TBC1D13	ENSG00000199121	ENSG00000107021	chr2	chr9
MIR26A	TBC1D13	NA	ENSG00000107021	NA	chr9
MIRLET7E	LRRC8A	ENSG00000198972	ENSG00000136802	chr19	chr9
NA	LRRC8A	NA	ENSG00000136802	NA	chr9
MIR15A	NUP188	ENSG00000283785	ENSG00000095319	chr13	chr9
MIR31	NUP188	ENSG00000199177	ENSG00000095319	chr9	chr9
MIR16	NUP188	ENSG00000198987	ENSG00000095319	chr3	chr9
MIR16	NUP188	ENSG00000208006	ENSG00000095319	chr13	chr9
MIR101	DOLPP1	ENSG00000199135	ENSG00000167130	chr1	chr9
MIR101	DOLPP1	ENSG00000199065	ENSG00000167130	chr9	chr9
NA	DOLPP1	NA	ENSG00000167130	NA	chr9
MIR326	PPP2R4	ENSG00000199090	NA	chr11	NA
MIR20A	C9orf78	ENSG00000283762	ENSG00000136819	chr13	chr9
NA	C9orf78	NA	ENSG00000136819	NA	chr9
MIR19A	FNBP1	ENSG00000284204	ENSG00000187239	chr13	chr9
NA	FNBP1	NA	ENSG00000187239	NA	chr9
MIR16	FNBP1	ENSG00000198987	ENSG00000187239	chr3	chr9
MIR16	FNBP1	ENSG00000208006	ENSG00000187239	chr13	chr9
MIR615	FNBP1	ENSG00000207571	ENSG00000187239	chr12	chr9
MIR92A	ASS1	NA	ENSG00000130707	NA	chr9
MIR25	ASS1	ENSG00000207547	ENSG00000130707	chr7	chr9
MIR194	ABL1	ENSG00000207624	ENSG00000097007	chr1	chr9
MIR194	ABL1	ENSG00000229719	ENSG00000097007	chr11	chr9
MIR194	ABL1	ENSG00000284155	ENSG00000097007	chr11	chr9
NA	ABL1	NA	ENSG00000097007	NA	chr9
MIR502	ABL1	ENSG00000272080	ENSG00000097007	chrX	chr9
MIR500A	ABL1	ENSG00000207785	ENSG00000097007	chrX	chr9
NA	NUP214	NA	ENSG00000126883	NA	chr9
MIR22	NUP214	ENSG00000283824	ENSG00000126883	chr17	chr9
MIR193B	NUP214	ENSG00000207639	ENSG00000126883	chr16	chr9
MIRLET7B	NUP214	ENSG00000284520	ENSG00000126883	chr22	chr9
NA	PRRC2B	NA	NA	NA	NA
MIR23A	PRRC2B	ENSG00000207980	NA	chr19	NA
MIR193B	PRRC2B	ENSG00000207639	NA	chr16	NA
MIR92A	PRRC2B	NA	NA	NA	NA
MIR484	PRRC2B	ENSG00000283736	NA	chr16	NA
MIR34A	PRRC2B	ENSG00000284357	NA	chr1	NA
MIR423	PRRC2B	ENSG00000283935	NA	chr17	NA
MIR320A	PRRC2B	ENSG00000208037	NA	chr8	NA
MIR181A	PRRC2B	NA	NA	NA	NA
MIRLET7B	PRRC2B	ENSG00000284520	NA	chr22	NA
MIR92B	PRRC2B	ENSG00000284586	NA	chr1	NA
MIR1910	PRRC2B	ENSG00000283416	NA	chr16	NA
NA	POMT1	NA	ENSG00000130714	NA	chr9
NA	RP11-334J6.6	NA	NA	NA	NA
MIR17	POMT1	ENSG00000284536	ENSG00000130714	chr13	chr9
MIR17	RP11-334J6.6	ENSG00000284536	NA	chr13	NA
MIR20A	MED27	ENSG00000283762	ENSG00000160563	chr13	chr9
NA	MED27	NA	ENSG00000160563	NA	chr9
MIR16	SETX	ENSG00000198987	ENSG00000107290	chr3	chr9
MIR16	SETX	ENSG00000208006	ENSG00000107290	chr13	chr9
NA	SETX	NA	ENSG00000107290	NA	chr9
MIR18A	SETX	ENSG00000283815	ENSG00000107290	chr13	chr9
MIR92A	GTF3C4	NA	ENSG00000125484	NA	chr9
NA	GTF3C4	NA	ENSG00000125484	NA	chr9
MIR93	GTF3C4	ENSG00000207757	ENSG00000125484	chr7	chr9
MIR27B	GTF3C4	ENSG00000207864	ENSG00000125484	chr9	chr9
MIR331	GTF3C4	ENSG00000199172	ENSG00000125484	chr12	chr9
MIR320A	GTF3C4	ENSG00000208037	ENSG00000125484	chr8	chr9
MIR500A	TSC1	ENSG00000207785	ENSG00000165699	chrX	chr9
MIR502	TSC1	ENSG00000272080	ENSG00000165699	chrX	chr9
NA	GTF3C5	NA	ENSG00000148308	NA	chr9
MIR877	GTF3C5	ENSG00000216101	ENSG00000148308	chr6	chr9
MIR92A	SURF6	NA	ENSG00000148296	NA	chr9
MIR92B	SURF6	ENSG00000284586	ENSG00000148296	chr1	chr9
MIR320A	RPL7A	ENSG00000208037	ENSG00000148303	chr8	chr9
MIR1303	RPL7A	ENSG00000221552	ENSG00000148303	chr5	chr9
MIR744	RPL7A	ENSG00000266297	ENSG00000148303	chr17	chr9
MIR615	RPL7A	ENSG00000207571	ENSG00000148303	chr12	chr9
MIR92A	RPL7A	NA	ENSG00000148303	NA	chr9
MIR100	RPL7A	ENSG00000207994	ENSG00000148303	chr11	chr9
MIR25	RPL7A	ENSG00000207547	ENSG00000148303	chr7	chr9
MIR331	RPL7A	ENSG00000199172	ENSG00000148303	chr12	chr9
MIR484	RPL7A	ENSG00000283736	ENSG00000148303	chr16	chr9
MIR484	SNORD36B	ENSG00000283736	ENSG00000200831	chr16	chr9
NA	RPL7A	NA	ENSG00000148303	NA	chr9
NA	SNORD36B	NA	ENSG00000200831	NA	chr9
MIR27B	RPL7A	ENSG00000207864	ENSG00000148303	chr9	chr9
MIR27B	SNORD36B	ENSG00000207864	ENSG00000200831	chr9	chr9
MIR197	RPL7A	ENSG00000284443	ENSG00000148303	chr1	chr9
MIR1229	RPL7A	ENSG00000221394	ENSG00000148303	chr5	chr9
MIR19A	RPL7A	ENSG00000284204	ENSG00000148303	chr13	chr9
MIR19A	SNORD36A	ENSG00000284204	ENSG00000199744	chr13	chr9
NA	SNORD36A	NA	ENSG00000199744	NA	chr9
MIR940	RPL7A	ENSG00000284346	ENSG00000148303	chr16	chr9
MIR18A	RPL7A	ENSG00000283815	ENSG00000148303	chr13	chr9
MIR93	SURF4	ENSG00000207757	ENSG00000148248	chr7	chr9
NA	SURF4	NA	ENSG00000148248	NA	chr9
MIR5001	C9orf96	ENSG00000284407	NA	chr2	NA
MIR5001	REXO4	ENSG00000284407	ENSG00000148300	chr2	chr9
MIR484	C9orf96	ENSG00000283736	NA	chr16	NA
MIR484	REXO4	ENSG00000283736	ENSG00000148300	chr16	chr9
MIR196A	ADAMTS13	NA	ENSG00000160323	NA	chr9
NA	ADAMTS13	NA	ENSG00000160323	NA	chr9
MIR19A	RXRA	ENSG00000284204	ENSG00000186350	chr13	chr9
MIR210	RXRA	ENSG00000199038	ENSG00000186350	chr11	chr9
MIRLET7A	MRPS2	NA	ENSG00000122140	NA	chr9
MIRLET7E	MRPS2	ENSG00000198972	ENSG00000122140	chr19	chr9
NA	MRPS2	NA	ENSG00000122140	NA	chr9
MIR16	RP11-426A6.5	ENSG00000198987	NA	chr3	NA
MIR16	RP11-426A6.5	ENSG00000208006	NA	chr13	NA
MIR503	RP11-426A6.5	ENSG00000208005	NA	chrX	NA
MIR16	CAMSAP1	ENSG00000198987	ENSG00000130559	chr3	chr9
MIR16	CAMSAP1	ENSG00000208006	ENSG00000130559	chr13	chr9
MIR103A	CAMSAP1	NA	ENSG00000130559	NA	chr9
NA	CAMSAP1	NA	ENSG00000130559	NA	chr9
MIR17	NACC2	ENSG00000284536	ENSG00000148411	chr13	chr9
NA	NACC2	NA	ENSG00000148411	NA	chr9
MIR16	NACC2	ENSG00000198987	ENSG00000148411	chr3	chr9
MIR16	NACC2	ENSG00000208006	ENSG00000148411	chr13	chr9
MIR320A	SEC16A	ENSG00000208037	ENSG00000148396	chr8	chr9
NA	SEC16A	NA	ENSG00000148396	NA	chr9
MIR130A	SEC16A	ENSG00000208009	ENSG00000148396	chr11	chr9
MIR27A	SEC16A	ENSG00000207808	ENSG00000148396	chr19	chr9
MIR27B	SEC16A	ENSG00000207864	ENSG00000148396	chr9	chr9
NA	SNHG7	NA	ENSG00000233016	NA	chr9
MIR92A	SNHG7	NA	ENSG00000233016	NA	chr9
MIR10A	RABL6	ENSG00000284038	ENSG00000196642	chr17	chr9
MIR1226	RABL6	ENSG00000221585	ENSG00000196642	chr3	chr9
MIRLET7E	RABL6	ENSG00000198972	ENSG00000196642	chr19	chr9
NA	EDF1	NA	ENSG00000107223	NA	chr9
MIR296	EDF1	ENSG00000284040	ENSG00000107223	chr20	chr9
MIR18A	EDF1	ENSG00000283815	ENSG00000107223	chr13	chr9
MIR615	EDF1	ENSG00000207571	ENSG00000107223	chr12	chr9
MIR149	EDF1	ENSG00000207611	ENSG00000107223	chr2	chr9
MIR4279	EDF1	ENSG00000266243	ENSG00000107223	chr5	chr9
MIR221	RP11-229P13.22	ENSG00000207870	NA	chrX	NA
MIR222	RP11-229P13.22	ENSG00000207725	NA	chrX	NA
MIR22	SSNA1	ENSG00000283824	ENSG00000176101	chr17	chr9
NA	SSNA1	NA	ENSG00000176101	NA	chr9
MIR25	TUBB4B	ENSG00000207547	ENSG00000188229	chr7	chr9
MIR92A	TUBB4B	NA	ENSG00000188229	NA	chr9
MIR106B	TUBB4B	ENSG00000208036	ENSG00000188229	chr7	chr9
NA	TUBB4B	NA	ENSG00000188229	NA	chr9
MIR365A	TUBB4B	ENSG00000199130	ENSG00000188229	chr16	chr9
